hour,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_icon_01,weather_icon_01d,weather_icon_01n,weather_icon_02,weather_icon_02d,weather_icon_02n,weather_icon_03,weather_icon_03d,weather_icon_03n,weather_icon_04,weather_icon_04d,weather_icon_04n,weather_icon_09d,weather_icon_09n,weather_icon_10,weather_icon_10d,weather_icon_10n,weather_icon_11d,weather_icon_11n,weather_icon_13d,weather_icon_13n,weather_icon_50d,weather_icon_50n,weather_description_broken clouds,weather_description_drizzle,weather_description_few clouds,weather_description_fog,weather_description_haze,weather_description_heavy intensity drizzle,weather_description_heavy intensity rain,weather_description_heavy intensity shower rain,weather_description_heavy snow,weather_description_light intensity drizzle,weather_description_light intensity drizzle rain,weather_description_light intensity shower rain,weather_description_light rain,weather_description_light rain and snow,weather_description_light snow,weather_description_light thunderstorm,weather_description_mist,weather_description_moderate rain,weather_description_overcast clouds,weather_description_proximity shower rain,weather_description_proximity thunderstorm,weather_description_rain and drizzle,weather_description_rain and snow,weather_description_scattered clouds,weather_description_shower rain,weather_description_sky is clear,weather_description_sleet,weather_description_snow,weather_description_thunderstorm,weather_description_thunderstorm with heavy rain,weather_description_thunderstorm with light rain,weather_description_thunderstorm with rain,weather_main_clear,weather_main_clouds,weather_main_drizzle,weather_main_fog,weather_main_haze,weather_main_mist,weather_main_rain,weather_main_snow,weather_main_thunderstorm,Oil Price
12,526.0,939.0,5375.0,7716.0,363.0,0.0,685.0,1652.0,6657.0,89.0,69.0,5050.0,268.0,2050.0,5052.0,2063.0,31051.0,30837.0,301.46,299.95,303.15,1014,37,2,250,0.0,0.0,0.0,20,801,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.0
18,404.0,0.0,4491.0,1727.0,275.0,0.0,747.0,4686.0,7062.0,90.0,76.0,74.0,107.0,8178.0,38.0,8072.0,28583.0,28715.0,287.52,284.85,289.15,1030,58,1,180,0.0,0.0,0.0,0,800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,32.45
6,410.0,921.0,7782.0,7555.0,408.0,142.0,665.0,1036.0,6048.0,90.0,73.0,33.0,218.0,4415.0,60.0,4439.0,31079.0,31174.0,280.706,280.706,280.706,1022,69,1,213,0.0,0.0,0.0,0,800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,56.66
6,381.0,618.0,5263.0,3932.0,329.0,56.0,1540.0,5368.0,6078.0,54.0,102.0,794.0,276.0,7721.0,699.0,8610.0,34909.0,34875.0,287.84,286.15,289.15,1019,72,1,169,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,75.87
12,481.0,0.0,4035.0,1726.0,397.0,173.0,1045.0,2943.0,4582.0,91.0,74.0,1679.0,212.0,13380.0,2102.0,13313.0,32645.0,32979.0,305.8,304.95,306.15,1021,31,1,110,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40.0
12,348.0,577.0,6119.0,5769.0,305.0,0.0,1174.0,2835.0,7102.0,65.0,91.0,3507.0,246.0,4739.0,4248.0,4812.0,33698.0,33377.0,282.0335,282.0335,282.0335,1023,61,2,54,0.0,0.0,0.0,0,800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,56.34
12,524.0,875.0,4528.0,7245.0,436.0,0.0,483.0,2195.0,6002.0,84.0,69.0,4616.0,269.0,1403.0,4342.0,1356.0,30521.0,30185.0,292.97,292.15,293.71,1019,56,1,180,0.0,0.0,0.0,20,801,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.29
12,350.0,664.0,8938.0,4026.0,304.0,0.0,1505.0,4937.0,5929.0,64.0,100.0,3512.0,305.0,1896.0,4336.0,1955.0,35511.0,35426.0,303.15,303.15,303.15,1014,25,3,220,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,76.26
6,414.0,0.0,4365.0,2528.0,351.0,1019.0,1089.0,5212.0,6088.0,90.0,65.0,17.0,226.0,8272.0,4.0,8306.0,30620.0,31003.0,282.79,282.15,283.15,1026,76,1,140,0.0,0.0,0.0,75,803,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,52.28
6,541.0,924.0,5165.0,7423.0,375.0,0.0,598.0,1134.0,6669.0,100.0,70.0,526.0,232.0,2199.0,670.0,2424.0,26627.0,26395.0,292.87,292.15,294.45,1018,52,3,10,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,45.75
12,346.0,895.0,5136.0,5992.0,317.0,0.0,608.0,2151.0,6995.0,55.0,88.0,4452.0,302.0,1801.0,4514.0,1668.0,31487.0,31681.0,300.015,300.015,300.015,960,28,1,219,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,47.21
12,314.0,571.0,9529.0,4972.0,316.0,400.0,477.0,636.0,5894.0,59.0,107.0,2551.0,294.0,5961.0,2606.0,5736.0,30884.0,30528.0,287.09,285.15,290.15,1014,55,3,260,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,57.82
18,273.0,0.0,3287.0,1457.0,204.0,3516.0,1533.0,1858.0,4744.0,53.0,100.0,2713.0,157.0,12773.0,2749.0,11452.0,24934.0,25277.0,285.41,284.15,286.15,1027,71,1,290,0.0,0.0,0.0,0,800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,61.4
12,476.0,0.0,3625.0,1699.0,347.0,452.0,1311.0,5708.0,5076.0,98.0,79.0,814.0,132.0,15493.0,931.0,15536.0,32947.0,34549.0,284.95,284.15,286.15,1020,71,1,117,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,52.35
6,555.0,833.0,5131.0,7092.0,386.0,62.0,482.0,3003.0,5994.0,89.0,72.0,118.0,271.0,1577.0,39.0,1643.0,27892.0,27909.0,280.05,280.05,280.05,942,85,2,84,0.0,0.0,0.0,92,804,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,55.79
6,336.0,914.0,4196.0,4966.0,178.0,2034.0,457.0,371.0,7104.0,57.0,94.0,88.0,267.0,1789.0,46.0,1780.0,20109.0,19691.0,270.73,270.15,271.15,1027,86,1,340,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,55.004999999999995
12,335.0,0.0,4055.0,2338.0,310.0,75.0,846.0,2692.0,6965.0,54.0,82.0,5114.0,288.0,7786.0,5199.0,7908.0,31902.0,32247.0,282.53,282.15,283.15,1022,43,3,270,0.0,0.0,0.0,20,801,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,43.47
18,523.0,973.0,6989.0,7062.0,431.0,0.0,1071.0,6665.0,6092.0,83.0,83.0,39.0,282.0,2859.0,34.0,2904.0,36077.0,35859.0,285.31,284.45,286.15,1029,81,1,180,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,30.94
12,372.0,898.0,12586.0,6857.0,297.0,0.0,815.0,2762.0,5061.0,58.0,88.0,2188.0,277.0,1447.0,2091.0,1411.0,34002.0,33689.0,285.88,285.35,286.15,1011,87,10,230,0.3,0.0,0.0,75,500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,31.8
6,343.0,0.0,4227.0,2202.0,301.0,2321.0,1087.0,2740.0,4031.0,39.0,74.0,155.0,143.0,8263.0,195.0,8285.0,19736.0,19964.0,269.839,269.839,269.839,969,68,1,97,0.0,0.0,0.0,0,800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,51.08
